well_no,SampleID,Well,SMILES,canonSMILES,SMarea,SMareaAbs,Parea,PareaAbs,STDarea,STDareaAbs,Uarea,UareaAbs,corrSMarea,corrParea,corrSTDarea,P/SM+P,P/STD,corrP/SM+P,corrP/STD
45,No Data.,D9,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
46,No Data.,D10,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
47,No Data.,D11,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
48,No Data.,D12,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
49,SOCS2A-478-RP3573-4,E1,Cc1cc(-c2cc(Cl)ccc2Cl)n[nH]1,Cc1cc(-c2cc(Cl)ccc2Cl)n[nH]1,0,0,6.4,75394.0,0,0,93.6,1103074.0,0,1.0,0,1.0,0,1.0,0
50,SOCS2A-478-RP3573-12,E2,Cc1cc(-c2c(C)noc2C)n[nH]1,Cc1cc(-c2c(C)noc2C)n[nH]1,0,0,0.6,6865.0,0,0,99.4,1134441.0,0,1.0,0,1.0,0,1.0,0
51,No Data.,E3,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
52,No Data.,E4,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
53,No Data.,E5,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
54,No Data.,E6,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
55,No Data.,E7,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
56,No Data.,E8,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
57,No Data.,E9,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
58,No Data.,E10,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
59,No Data.,E11,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
60,No Data.,E12,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
61,SOCS2A-478-RP3573-5,F1,Cc1ccc(C)c(-c2cc(C)[nH]n2)c1,Cc1ccc(C)c(-c2cc(C)[nH]n2)c1,0,0,42.4,957739.0,0,0,57.6,1300920.0,0,1.0,0,1.0,0,1.0,0
62,SOCS2A-478-RP3573-13,F2,Cc1cc(-c2cn(C)c3ccccc23)n[nH]1,Cc1cc(-c2cn(C)c3ccccc23)n[nH]1,0,0,3.09,114674.0,0,0,96.91,3600981.0,0,1.0,0,1.0,0,1.0,0
63,No Data.,F3,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
64,No Data.,F4,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
65,No Data.,F5,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
66,No Data.,F6,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
67,No Data.,F7,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
68,No Data.,F8,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
69,No Data.,F9,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
70,No Data.,F10,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
71,No Data.,F11,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
72,No Data.,F12,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
73,SOCS2A-478-RP3573-6,G1,Cc1cc(-c2ccc(C#N)cc2C)n[nH]1,Cc1cc(-c2ccc(C#N)cc2C)n[nH]1,0,0,25.19,617650.0,0,0,74.81,1834475.0,0,1.0,0,1.0,0,1.0,0
