name,g_smiles,mass1,mass2,mass3,time,mass-,mass+,best_well,best_purity,overlaps,conflicts
Product1,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,390.28,0,0,2.6,-,391.2,A8,2.41716000702399,No peak overlap detected.,No potential conflicts found.
Impurity0,,0.0,0,0,1.03,[],[],C7,1.82297116014003,[],[]
Impurity1,,0.0,0,0,1.43,[],[],B8,96.6657801796713,[],[]
Impurity2,,0.0,0,0,1.6,[],[],C2,20.381945293444,[],[]
Impurity3,,0.0,0,0,1.8,[],[322.4],B6,88.3201728302429,[],[]
Impurity4,,0.0,0,0,1.85,[],[],A4,6.13241325293981,[],[]
Impurity5,,0.0,0,0,1.98,[],[],A7,3.48546361309332,[],[]
Impurity6,,0.0,0,0,2.08,[],[],C1,4.74391870501539,[],[]
Impurity7,,0.0,0,0,2.3,[],[483.2],C7,2.3836140609242,[],[]
