well_no,SampleID,Well,SMILES,canonSMILES,SMarea,SMareaAbs,Parea,PareaAbs,STDarea,STDareaAbs,Uarea,UareaAbs,corrSMarea,corrParea,corrSTDarea,P/SM+P,P/STD,phenol bparea,phenol bpareaAbs,corrphenol bparea,phenol bp/STD,corrphenol bp/STD,corrP/SM+P,corrP/STD
18,SAW2140-6-B6-A1,B6,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,5.19,91480.8984,8.05,141940.625,0,0,0.0,0.07360658062686144,0.3453453453453454,1.0,0.64,0.0,0.0,0.0,0.0,0.0,1.0,0.029864675688287448
19,SAW2140-6-B7-A1,B7,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.0,0.0,7.21,163758.7813,0,0,0.0,0.0,0.30930930930930933,0.0,0.0,24.06,546705.875,0.9464988198269079,3.34,0.0,0.0,0.0
20,SAW2140-6-B8-A1,B8,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.0,0.0,6.39,170191.5313,0,0,0.0,0.0,0.27413127413127414,0.0,0.0,20.35,541544.625,0.8005507474429583,3.18,0.8087167070217918,0.0,0.0
21,SAW2140-6-B9-A1,B9,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.6,13367.4609,6.88,152646.6719,0,0,0.0,0.008509431286342363,0.2951522951522952,1.0,0.09,20.05,445105.375,0.7887490165224232,2.92,0.7699757869249395,1.0,0.004199720018665422
22,SAW2140-6-B10-A1,B10,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,12.83,307416.3438,6.68,159951.2031,0,0,0.0,0.18196000567295417,0.28657228657228656,1.0,1.92,0.0,0.0,0.0,0.0,0.7070217917675545,1.0,0.08959402706486234
23,SAW2140-6-B11-A1,B11,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,3.82,71502.0938,7.84,146780.4063,0,0,0.0,0.05417671252304637,0.33633633633633636,1.0,0.49,0.0,0.0,0.0,0.0,0.0,1.0,0.022865142323845077
24,SAW2140-6-B12-A1,B12,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,5.77,115359.6406,8.49,169570.2344,0,0,0.0,0.08183236420365904,0.36422136422136425,1.0,0.68,0.0,0.0,0.0,0.0,0.0,1.0,0.03173121791880541
25,SAW2140-6-C1-A1,C1,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,2.29,82057.4688,4.21,151102.9375,0,0,0.0,0.03247766274287335,0.18060918060918063,1.0,0.54,0.0,0.0,0.0,0.0,0.0,1.0,0.025198320111992537
26,SAW2140-6-C2-A1,C2,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,52.99,2103909.0,3.4,134966.5,0,0,0.0,0.751524606438803,0.14586014586014587,1.0,15.59,0.0,0.0,0.0,0.0,0.0,1.0,0.727484834344377
27,SAW2140-6-C3-A1,C3,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,16.24,546570.875,3.65,122871.2969,0,0,0.0,0.23032194015033325,0.1565851565851566,1.0,4.45,0.0,0.0,0.0,0.0,0.0,1.0,0.20765282314512368
28,SAW2140-6-C4-A1,C4,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,3.1,101941.2266,4.06,133417.4844,0,0,0.0,0.04396539497943554,0.17417417417417416,1.0,0.76,0.0,0.0,0.0,0.0,0.0,1.0,0.03546430237984134
29,SAW2140-6-C5-A1,C5,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,2.77,87445.2266,4.22,133047.9688,0,0,0.0,0.03928520777194724,0.18103818103818103,1.0,0.66,0.0,0.0,0.0,0.0,0.0,1.0,0.03079794680354643
30,SAW2140-6-C6-A1,C6,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,26.19,889050.25,3.61,122489.0938,0,0,0.0,0.37143667564884414,0.15486915486915487,1.0,7.26,0.0,0.0,0.0,0.0,0.0,1.0,0.33877741483901075
