well_no,SampleID,Well,SMILES,canonSMILES,SMarea,SMareaAbs,Parea,PareaAbs,STDarea,STDareaAbs,Uarea,UareaAbs,corrSMarea,corrParea,corrSTDarea,P/SM+P,P/STD,Byproduct1area,Byproduct1areaAbs,corrByproduct1area,Byproduct1/STD,corrByproduct1/STD,corrP/SM+P,corrP/STD
17,SAW2140-6-B5-A1,B5,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,2.21,52108.6484,6.06,142903.0,91.73,2163980.6133000003,0.0,0.03134307190469437,0.25997425997426,1.0,0.36,0.0,0.0,0.0,0.0,0.02541847489150651,1.0,0.01679888007466169
18,SAW2140-6-B6-A1,B6,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,5.19,91480.8984,8.05,141940.625,86.76,1530876.1446,0.0,0.07360658062686144,0.3453453453453454,1.0,0.64,0.0,0.0,0.0,0.0,0.0,1.0,0.029864675688287448
19,SAW2140-6-B7-A1,B7,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.0,0.0,7.21,163758.7813,92.79,2108709.8419,0.0,0.0,0.30930930930930933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,SAW2140-6-B8-A1,B8,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.0,0.0,6.39,170191.5313,93.61,2491531.8907999997,0.0,0.0,0.27413127413127414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,SAW2140-6-B9-A1,B9,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.6,13367.4609,6.88,152646.6719,92.52000000000001,2053673.6837,0.0,0.008509431286342363,0.2951522951522952,1.0,0.09,0.0,0.0,0.0,0.0,0.0,1.0,0.004199720018665422
22,SAW2140-6-B10-A1,B10,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,12.83,307416.3438,6.68,159951.2031,79.19,1897726.7969999998,0.0,0.18196000567295417,0.28657228657228656,1.0,1.92,1.3,31152.8926,0.02104581512060871,0.19,0.0,1.0,0.08959402706486234
23,SAW2140-6-B11-A1,B11,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,3.82,71502.0938,7.84,146780.4063,88.34,1654037.3749000002,0.0,0.05417671252304637,0.33633633633633636,1.0,0.49,0.0,0.0,0.0,0.0,0.011779293242405457,1.0,0.022865142323845077
24,SAW2140-6-B12-A1,B12,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,5.77,115359.6406,8.49,169570.2344,85.74000000000001,1713202.2969,0.0,0.08183236420365904,0.36422136422136425,1.0,0.68,0.0,0.0,0.0,0.0,0.0,1.0,0.03173121791880541
25,SAW2140-6-C1-A1,C1,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,2.29,82057.4688,4.21,151102.9375,43.54999999999999,1561131.3926000004,0.0,0.03247766274287335,0.18060918060918063,1.0,0.54,49.95,1790832.0,0.8086449732880039,11.85,0.0,1.0,0.025198320111992537
26,SAW2140-6-C2-A1,C2,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,52.99,2103909.0,3.4,134966.5,15.639999999999999,620869.3554000002,0.0,0.751524606438803,0.14586014586014587,1.0,15.59,27.97,1110444.25,0.4528088068641735,8.23,0.7346559206447614,1.0,0.727484834344377
27,SAW2140-6-C3-A1,C3,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,16.24,546570.875,3.65,122871.2969,21.840000000000003,734747.7891000002,0.0,0.23032194015033325,0.1565851565851566,1.0,4.45,58.27,1961036.5,0.9433381900598996,15.96,0.5102293862368259,1.0,0.20765282314512368
28,SAW2140-6-C4-A1,C4,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,3.1,101941.2266,4.06,133417.4844,40.660000000000004,1337872.6600999995,0.0,0.04396539497943554,0.17417417417417416,1.0,0.76,52.18,1716400.5,0.844746640764125,12.86,0.9894606323620584,1.0,0.03546430237984134
29,SAW2140-6-C5-A1,C5,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,2.77,87445.2266,4.22,133047.9688,50.13,1582262.9178999993,0.0,0.03928520777194724,0.18103818103818103,1.0,0.66,42.88,1353486.875,0.6941881172090011,10.17,0.7972721636701798,1.0,0.03079794680354643
30,SAW2140-6-C6-A1,C6,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,26.19,889050.25,3.61,122489.0938,20.220000000000006,686538.1075999996,0.0,0.37143667564884414,0.15486915486915487,1.0,7.26,49.98,1696807.375,0.8091306459446332,13.85,0.6305021698698079,1.0,0.33877741483901075
31,SAW2140-6-C7-A1,C7,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,7.78,283989.0625,3.83,139796.1094,26.619999999999997,972008.9609999997,0.0,0.11033895901290597,0.16430716430716433,1.0,2.03,61.77,2255206.25,1.0,16.13,0.8586484810911346,1.0,0.09472701819878673
32,SAW2140-6-C8-A1,C8,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,2.24,90372.2188,3.77,152268.2656,48.52,1959398.8515999997,0.0,0.031768543469011486,0.16173316173316174,1.0,0.59,45.47,1836130.25,0.7361178565646753,12.06,1.0,1.0,0.02753149790013999
33,SAW2140-6-C9-A1,C9,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,9.87,339723.4375,4.83,166183.3438,26.629999999999995,917392.3730999994,0.0,0.13998014466033185,0.20720720720720723,1.0,2.04,58.67,2020181.75,0.9498138254816254,12.16,0.7476751394916306,1.0,0.09519365375641624
34,SAW2140-6-C10-A1,C10,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,61.89,1742499.5,7.82,220311.7969,4.66,131090.1406,23.990000000000006,675587.1719,1.0,0.11090625443199546,0.19991419991419992,0.11,1.68,1.64,46214.7969,0.0265501052290756,0.35,0.7538747675139492,0.11,0.07839477368175454
35,SAW2140-6-C11-A1,C11,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,5.02,170581.5313,4.56,154812.9844,38.28,1301271.9883999997,0.0,0.07119557509573109,0.1956241956241956,1.0,1.1,52.14,1771981.75,0.8440990772219523,11.45,0.02169869807811531,1.0,0.051329911339244055
36,SAW2140-6-C12-A1,C12,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,39.06,1367315.25,4.0,140157.875,17.4,609378.0331999995,0.0,0.5539639767408878,0.1716001716001716,1.0,9.76,39.54,1384123.875,0.640116561437591,9.88,0.7098574085554866,1.0,0.4554363042463836
37,SAW2140-6-D1-A1,D1,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,32.44,963970.25,13.81,410360.9688,4.24,126069.3594,21.339999999999996,634269.7969,0.5241557602197446,0.19585874344064672,0.18189618189618192,0.3,3.26,28.17,837237.125,0.4560466245750364,6.64,0.6125232486050838,0.3,0.15212319178721417
38,SAW2140-6-D2-A1,D2,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.92,26729.0059,4.14,119728.3203,63.89,1848026.8826999993,0.0,0.013047794639058289,0.1776061776061776,1.0,0.22,31.05,897977.125,0.5026711996114619,7.5,0.4116553006819591,1.0,0.01026598226784881
39,SAW2140-6-D3-A1,D3,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,65.38,2115646.75,3.79,122722.2656,10.940000000000005,353714.2344999994,0.0,0.9272443625017727,0.1625911625911626,1.0,17.24,19.89,643761.8125,0.32200097134531325,5.25,0.4649721016738996,1.0,0.8044797013532431
40,SAW2140-6-D4-A1,D4,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,42.41,1112584.375,36.1,946945.375,4.7,123221.6719,6.360000000000002,166823.58989999996,0.6852480206818549,0.5119841157282655,0.20163020163020165,0.46,7.68,10.43,273702.0,0.16885219362149909,2.22,0.32548047117172973,0.46,0.3583761082594494
41,SAW2140-6-D5-A1,D5,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,28.51,754545.125,1.32,34971.3789,4.12,108954.5313,60.36000000000001,1597603.5869999998,0.46065600258523187,0.0187207488299532,0.17674817674817675,0.04,0.32,5.69,150673.9844,0.0921159138740489,1.38,0.1376317420954743,0.04,0.014932337844143724
42,SAW2140-6-D6-A1,D6,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,70.51,2559771.5,3.29,119473.0938,5.959999999999996,215985.24610000002,0.0,1.0,0.14114114114114115,1.0,21.43,20.24,734910.5,0.32766715233932325,6.15,0.08555486670799752,1.0,1.0
43,SAW2140-6-D7-A1,D7,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.9,32845.7461,3.88,141127.5469,63.559999999999995,2312340.1426,0.0,0.012764146929513543,0.16645216645216646,1.0,0.23,31.66,1152044.125,0.5125465436295936,8.16,0.38127712337259767,1.0,0.010732617825478302
44,SAW2140-6-D8-A1,D8,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,49.63,1510448.25,4.37,133063.875,26.199999999999996,797665.3437999999,0.0,0.7038717912352858,0.18747318747318747,1.0,11.35,19.8,602532.8125,0.32054395337542496,4.53,0.5058896466212027,1.0,0.5296313579094727
45,SAW2140-6-D9-A1,D9,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,4.96,163229.0625,4.65,152896.5469,39.13000000000001,1287716.8067000005,0.0,0.07034463196709687,0.19948519948519952,1.0,1.07,51.26,1686805.125,0.8298526792941556,11.03,0.2808431494110354,1.0,0.04993000466635558
46,SAW2140-6-D10-A1,D10,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,27.48,188194.3594,12.98,88851.3828,23.31,159611.625,29.49,201947.211,0.4440135724672807,0.18408736349453977,1.0,0.32,0.56,6.74,46170.75,0.109114456856079,0.29,0.6838189708617483,0.32,0.02613159122725152
47,SAW2140-6-D11-A1,D11,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,9.28,269715.5625,4.69,136416.1719,26.399999999999995,767442.8984999997,0.0,0.13161253722876187,0.20120120120120122,1.0,1.98,59.63,1733543.125,0.9653553504937672,12.71,0.017978921264724116,1.0,0.09239384041063929
48,SAW2140-6-D12-A1,D12,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,44.35,1594494.75,3.79,136251.0,24.28,872833.5118,0.0,0.628988795915473,0.1625911625911626,1.0,11.7,27.58,991642.4375,0.4464950623279909,7.28,0.7879727216367018,1.0,0.5459636024265049
