Well,Desired Product SMILES,Limiting Reactant SMILES,InternalSTD SMILES,Byproduct1 SMILES,byproduct2 smiles, byproduct3 smiles, byproduct1 name, byproduct3 name
B5,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B6,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B7,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B8,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B9,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B10,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B11,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B12,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
C1,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
C2,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
